event_date,feature,target_role,total_generations,successful_generations,failed_generations,success_rate,average_latency_ms,total_tokens
2026-01-08,exam_generation,Software Engineer,1,1,0,1.0,2578.0,1467
2026-01-08,job_analysis,Data Analyst,1,1,0,1.0,1241.0,1660
2026-01-08,job_analysis,Finance Analyst,2,2,0,1.0,1765.0,3221
2026-01-08,job_analysis,Product Manager,2,2,0,1.0,1404.5,2822
2026-01-08,job_analysis,Software Engineer,5,5,0,1.0,2166.2,7254
2026-01-08,job_analysis,UX Designer,9,9,0,1.0,1556.56,13378
2026-01-08,prep_plan,Data Analyst,3,3,0,1.0,1798.67,5434
2026-01-08,prep_plan,Finance Analyst,1,1,0,1.0,587.0,1404
2026-01-08,prep_plan,Product Manager,2,2,0,1.0,1384.5,2907
2026-01-08,prep_plan,Software Engineer,2,2,0,1.0,1461.0,2947
2026-01-08,prep_plan,UX Designer,3,3,0,1.0,1979.33,4589
2026-01-08,study_notes,Data Analyst,6,6,0,1.0,2313.0,12652
2026-01-08,study_notes,Finance Analyst,5,5,0,1.0,1951.6,8831
2026-01-08,study_notes,Product Manager,2,2,0,1.0,1678.0,3136
2026-01-08,study_notes,Software Engineer,6,6,0,1.0,1755.0,10962
2026-01-08,study_notes,UX Designer,6,6,0,1.0,1812.17,10391
2026-01-09,exam_generation,Software Engineer,2,2,0,1.0,1517.5,2731
2026-01-09,exam_generation,UX Designer,1,1,0,1.0,1401.0,1267
2026-01-09,job_analysis,Data Analyst,8,7,1,0.875,1911.12,11757
2026-01-09,job_analysis,Finance Analyst,4,4,0,1.0,1546.5,5692
2026-01-09,job_analysis,Product Manager,2,2,0,1.0,1504.5,2579
2026-01-09,job_analysis,Software Engineer,2,2,0,1.0,1764.0,2422
2026-01-09,job_analysis,UX Designer,2,2,0,1.0,1572.5,2877
2026-01-09,mock_interview,Software Engineer,1,1,0,1.0,1301.0,1504
2026-01-09,prep_plan,Data Analyst,2,2,0,1.0,1010.5,2825
2026-01-09,prep_plan,Finance Analyst,3,3,0,1.0,1698.0,5006
2026-01-09,prep_plan,Product Manager,2,2,0,1.0,2073.5,2017
2026-01-09,prep_plan,Software Engineer,2,2,0,1.0,1964.0,2500
2026-01-09,prep_plan,UX Designer,5,5,0,1.0,1413.8,6185
2026-01-09,study_notes,Data Analyst,11,10,1,0.9091,2473.18,19644
2026-01-09,study_notes,Finance Analyst,6,6,0,1.0,2239.5,10891
2026-01-09,study_notes,Product Manager,7,6,1,0.8571,2541.43,12434
2026-01-09,study_notes,Software Engineer,9,6,3,0.6667,1953.44,13329
2026-01-09,study_notes,UX Designer,6,6,0,1.0,2162.33,11680
2026-01-10,exam_generation,Data Analyst,1,1,0,1.0,2270.0,807
2026-01-10,exam_generation,Software Engineer,1,1,0,1.0,1712.0,1298
2026-01-10,exam_generation,UX Designer,1,1,0,1.0,1318.0,1610
2026-01-10,job_analysis,Data Analyst,2,2,0,1.0,2022.0,3126
2026-01-10,job_analysis,Finance Analyst,3,3,0,1.0,1351.0,4781
2026-01-10,job_analysis,Product Manager,3,3,0,1.0,1709.0,4711
2026-01-10,job_analysis,Software Engineer,5,5,0,1.0,1720.4,6610
2026-01-10,job_analysis,UX Designer,8,8,0,1.0,1454.5,12412
2026-01-10,mock_interview,Finance Analyst,1,1,0,1.0,1629.0,1257
2026-01-10,prep_plan,Data Analyst,3,3,0,1.0,1258.67,4198
2026-01-10,prep_plan,Product Manager,1,1,0,1.0,2129.0,1713
2026-01-10,prep_plan,Software Engineer,1,1,0,1.0,1222.0,1467
2026-01-10,prep_plan,UX Designer,4,4,0,1.0,1694.25,6325
2026-01-10,study_notes,Data Analyst,11,10,1,0.9091,1989.27,19273
2026-01-10,study_notes,Finance Analyst,8,6,2,0.75,2401.5,13911
2026-01-10,study_notes,Product Manager,6,6,0,1.0,1709.0,11796
2026-01-10,study_notes,Software Engineer,12,11,1,0.9167,2124.33,23159
2026-01-10,study_notes,UX Designer,15,14,1,0.9333,1990.8,27437
2026-01-11,exam_generation,Data Analyst,3,3,0,1.0,1988.0,3757
2026-01-11,exam_generation,Finance Analyst,1,1,0,1.0,1498.0,1370
2026-01-11,exam_generation,Product Manager,1,1,0,1.0,1507.0,1993
2026-01-11,exam_generation,Software Engineer,2,2,0,1.0,1395.0,3590
2026-01-11,exam_generation,UX Designer,2,2,0,1.0,2039.0,2462
2026-01-11,job_analysis,Data Analyst,7,7,0,1.0,1672.29,11648
2026-01-11,job_analysis,Finance Analyst,5,5,0,1.0,1890.0,7565
2026-01-11,job_analysis,Product Manager,3,3,0,1.0,2338.0,5433
2026-01-11,job_analysis,Software Engineer,10,10,0,1.0,1799.9,12518
2026-01-11,job_analysis,UX Designer,4,4,0,1.0,1632.0,6574
2026-01-11,mock_interview,Data Analyst,1,1,0,1.0,380.0,1394
2026-01-11,prep_plan,Data Analyst,5,5,0,1.0,1204.8,7824
2026-01-11,prep_plan,Finance Analyst,2,2,0,1.0,1746.5,3511
2026-01-11,prep_plan,Software Engineer,6,6,0,1.0,1339.17,8517
2026-01-11,prep_plan,UX Designer,3,2,1,0.6667,1103.0,3799
2026-01-11,study_notes,Data Analyst,14,13,1,0.9286,1968.36,25173
2026-01-11,study_notes,Finance Analyst,9,9,0,1.0,2132.44,17083
2026-01-11,study_notes,Product Manager,6,6,0,1.0,1848.33,11716
2026-01-11,study_notes,Software Engineer,7,7,0,1.0,1675.57,13120
2026-01-11,study_notes,UX Designer,11,9,2,0.8182,1706.73,19070
2026-01-12,exam_generation,Data Analyst,4,4,0,1.0,2202.25,6856
2026-01-12,exam_generation,Finance Analyst,1,0,1,0.0,668.0,1135
2026-01-12,exam_generation,Product Manager,1,1,0,1.0,1565.0,1577
2026-01-12,exam_generation,Software Engineer,4,4,0,1.0,1515.0,5646
2026-01-12,exam_generation,UX Designer,3,3,0,1.0,1968.67,4099
2026-01-12,job_analysis,Data Analyst,3,3,0,1.0,1813.33,4898
2026-01-12,job_analysis,Finance Analyst,5,4,1,0.8,1734.4,7685
2026-01-12,job_analysis,Product Manager,5,5,0,1.0,1380.8,8191
2026-01-12,job_analysis,Software Engineer,5,5,0,1.0,1591.8,8287
2026-01-12,job_analysis,UX Designer,5,2,3,0.4,1484.8,5658
2026-01-12,prep_plan,Data Analyst,2,2,0,1.0,843.5,2634
2026-01-12,prep_plan,Finance Analyst,2,2,0,1.0,1342.0,2416
2026-01-12,prep_plan,Product Manager,3,2,1,0.6667,1302.67,3987
2026-01-12,prep_plan,Software Engineer,5,5,0,1.0,1821.8,5776
2026-01-12,prep_plan,UX Designer,1,1,0,1.0,2201.0,1376
2026-01-12,study_notes,Data Analyst,14,14,0,1.0,2033.07,25435
2026-01-12,study_notes,Finance Analyst,10,10,0,1.0,2101.7,18790
2026-01-12,study_notes,Product Manager,8,8,0,1.0,2183.75,14109
2026-01-12,study_notes,Software Engineer,16,13,3,0.8125,2438.06,26621
2026-01-12,study_notes,UX Designer,12,12,0,1.0,1936.42,20859
2026-01-13,exam_generation,Data Analyst,1,0,1,0.0,1422.0,648
2026-01-13,exam_generation,Finance Analyst,2,2,0,1.0,1387.5,3099
2026-01-13,exam_generation,Product Manager,1,1,0,1.0,1107.0,2081
2026-01-13,exam_generation,Software Engineer,2,1,1,0.5,2121.5,2038
2026-01-13,exam_generation,UX Designer,3,3,0,1.0,1815.0,3773
2026-01-13,job_analysis,Data Analyst,6,5,1,0.8333,1778.83,7514
2026-01-13,job_analysis,Finance Analyst,7,7,0,1.0,1729.14,11426
2026-01-13,job_analysis,Product Manager,6,5,1,0.8333,1812.33,9465
2026-01-13,job_analysis,Software Engineer,7,7,0,1.0,1736.43,10161
2026-01-13,job_analysis,UX Designer,6,6,0,1.0,1666.67,8019
2026-01-13,mock_interview,Data Analyst,2,2,0,1.0,2755.5,3193
2026-01-13,mock_interview,UX Designer,1,1,0,1.0,2127.0,1618
2026-01-13,prep_plan,Data Analyst,3,3,0,1.0,1353.67,4118
2026-01-13,prep_plan,Finance Analyst,4,4,0,1.0,1627.5,6602
2026-01-13,prep_plan,Product Manager,2,2,0,1.0,2174.0,3018
2026-01-13,prep_plan,Software Engineer,5,4,1,0.8,1399.6,7302
2026-01-13,prep_plan,UX Designer,4,3,1,0.75,1508.0,5614
2026-01-13,study_notes,Data Analyst,17,16,1,0.9412,2255.47,32494
2026-01-13,study_notes,Finance Analyst,11,10,1,0.9091,2159.45,20097
2026-01-13,study_notes,Product Manager,8,8,0,1.0,1916.75,15083
2026-01-13,study_notes,Software Engineer,16,16,0,1.0,2192.38,29878
2026-01-13,study_notes,UX Designer,15,15,0,1.0,2156.07,26916
2026-01-14,exam_generation,Data Analyst,4,4,0,1.0,1380.75,5040
2026-01-14,exam_generation,Finance Analyst,4,4,0,1.0,1334.75,6988
2026-01-14,exam_generation,Product Manager,2,2,0,1.0,1645.5,2729
2026-01-14,exam_generation,Software Engineer,3,3,0,1.0,1412.33,4278
2026-01-14,exam_generation,UX Designer,2,2,0,1.0,1811.5,3525
2026-01-14,job_analysis,Data Analyst,9,7,2,0.7778,1471.78,13043
2026-01-14,job_analysis,Finance Analyst,3,3,0,1.0,1490.0,3963
2026-01-14,job_analysis,Product Manager,5,4,1,0.8,1529.4,6043
2026-01-14,job_analysis,Software Engineer,10,9,1,0.9,1920.8,13691
2026-01-14,job_analysis,UX Designer,9,8,1,0.8889,1454.56,13530
2026-01-14,mock_interview,Data Analyst,1,0,1,0.0,1520.0,365
2026-01-14,mock_interview,Finance Analyst,1,1,0,1.0,1252.0,1596
2026-01-14,mock_interview,Product Manager,1,1,0,1.0,2474.0,1382
2026-01-14,prep_plan,Data Analyst,5,4,1,0.8,1705.4,7154
2026-01-14,prep_plan,Finance Analyst,5,5,0,1.0,1654.6,7600
2026-01-14,prep_plan,Product Manager,2,2,0,1.0,1881.0,3204
2026-01-14,prep_plan,Software Engineer,2,2,0,1.0,937.0,2255
2026-01-14,prep_plan,UX Designer,5,5,0,1.0,2001.4,6297
2026-01-14,study_notes,Data Analyst,23,22,1,0.9565,2219.22,41378
2026-01-14,study_notes,Finance Analyst,14,14,0,1.0,2306.64,24656
2026-01-14,study_notes,Product Manager,10,9,1,0.9,2213.8,15766
2026-01-14,study_notes,Software Engineer,22,22,0,1.0,2276.0,41282
2026-01-14,study_notes,UX Designer,17,16,1,0.9412,2165.65,31452
2026-01-15,exam_generation,Data Analyst,1,1,0,1.0,3022.0,663
2026-01-15,exam_generation,Finance Analyst,5,5,0,1.0,1465.8,7431
2026-01-15,exam_generation,Product Manager,1,1,0,1.0,1744.0,1542
2026-01-15,exam_generation,Software Engineer,5,5,0,1.0,1577.2,7499
2026-01-15,exam_generation,UX Designer,3,2,1,0.6667,1556.0,3189
2026-01-15,job_analysis,Data Analyst,9,8,1,0.8889,1843.78,13155
2026-01-15,job_analysis,Finance Analyst,2,2,0,1.0,2473.5,3151
2026-01-15,job_analysis,Product Manager,8,8,0,1.0,1935.38,12395
2026-01-15,job_analysis,Software Engineer,7,7,0,1.0,1139.0,9829
2026-01-15,job_analysis,UX Designer,5,5,0,1.0,1278.4,7568
2026-01-15,mock_interview,Data Analyst,2,2,0,1.0,1295.0,3055
2026-01-15,mock_interview,Software Engineer,1,1,0,1.0,1050.0,1496
2026-01-15,prep_plan,Data Analyst,3,3,0,1.0,2076.67,4124
2026-01-15,prep_plan,Finance Analyst,2,2,0,1.0,1969.5,2667
2026-01-15,prep_plan,Product Manager,4,4,0,1.0,1478.75,5810
2026-01-15,prep_plan,Software Engineer,7,7,0,1.0,1621.29,9950
2026-01-15,prep_plan,UX Designer,3,3,0,1.0,1835.67,4517
2026-01-15,study_notes,Data Analyst,25,24,1,0.96,2093.2,46137
2026-01-15,study_notes,Finance Analyst,19,19,0,1.0,2108.84,37179
2026-01-15,study_notes,Product Manager,11,10,1,0.9091,2507.09,19412
2026-01-15,study_notes,Software Engineer,19,18,1,0.9474,2191.79,32842
2026-01-15,study_notes,UX Designer,23,23,0,1.0,2229.87,44597
2026-01-16,exam_generation,Data Analyst,7,7,0,1.0,1586.14,10764
2026-01-16,exam_generation,Finance Analyst,2,2,0,1.0,1898.0,1803
2026-01-16,exam_generation,Software Engineer,6,6,0,1.0,1626.0,9451
2026-01-16,exam_generation,UX Designer,6,6,0,1.0,1326.0,8334
2026-01-16,job_analysis,Data Analyst,4,4,0,1.0,1444.25,6412
2026-01-16,job_analysis,Finance Analyst,5,5,0,1.0,1914.8,7253
2026-01-16,job_analysis,Product Manager,6,6,0,1.0,1706.5,8731
2026-01-16,job_analysis,Software Engineer,10,9,1,0.9,1342.8,14472
2026-01-16,job_analysis,UX Designer,5,5,0,1.0,1408.8,9346
2026-01-16,mock_interview,Software Engineer,1,1,0,1.0,1100.0,1266
2026-01-16,mock_interview,UX Designer,1,1,0,1.0,2642.0,1401
2026-01-16,prep_plan,Data Analyst,4,4,0,1.0,1463.0,5275
2026-01-16,prep_plan,Finance Analyst,2,2,0,1.0,937.0,2992
2026-01-16,prep_plan,Product Manager,3,2,1,0.6667,1513.33,4255
2026-01-16,prep_plan,Software Engineer,10,10,0,1.0,1662.1,16368
2026-01-16,prep_plan,UX Designer,7,6,1,0.8571,1620.86,10022
2026-01-16,study_notes,Data Analyst,25,25,0,1.0,2190.52,45439
2026-01-16,study_notes,Finance Analyst,30,29,1,0.9667,2128.2,56155
2026-01-16,study_notes,Product Manager,14,13,1,0.9286,2147.14,25164
2026-01-16,study_notes,Software Engineer,24,24,0,1.0,2061.17,44617
2026-01-16,study_notes,UX Designer,27,26,1,0.963,2107.48,49190
2026-01-17,exam_generation,Data Analyst,4,4,0,1.0,1681.75,4996
2026-01-17,exam_generation,Finance Analyst,1,1,0,1.0,1118.0,1384
2026-01-17,exam_generation,Product Manager,2,1,1,0.5,1798.0,2200
2026-01-17,exam_generation,Software Engineer,7,7,0,1.0,1620.43,9730
2026-01-17,exam_generation,UX Designer,9,9,0,1.0,1616.33,13746
2026-01-17,job_analysis,Data Analyst,9,8,1,0.8889,1434.22,12494
2026-01-17,job_analysis,Finance Analyst,9,8,1,0.8889,1413.78,14144
2026-01-17,job_analysis,Product Manager,5,5,0,1.0,1479.6,7662
2026-01-17,job_analysis,Software Engineer,17,16,1,0.9412,1595.88,23942
2026-01-17,job_analysis,UX Designer,6,6,0,1.0,1853.5,8917
2026-01-17,mock_interview,Finance Analyst,1,1,0,1.0,1064.0,1347
2026-01-17,mock_interview,Software Engineer,1,1,0,1.0,943.0,751
2026-01-17,prep_plan,Data Analyst,5,4,1,0.8,1975.6,6155
2026-01-17,prep_plan,Finance Analyst,4,4,0,1.0,1992.0,6366
2026-01-17,prep_plan,Product Manager,5,4,1,0.8,1711.8,6789
2026-01-17,prep_plan,Software Engineer,4,4,0,1.0,1346.0,4816
2026-01-17,prep_plan,UX Designer,6,6,0,1.0,1986.67,8676
2026-01-17,study_notes,Data Analyst,20,20,0,1.0,2326.55,37635
2026-01-17,study_notes,Finance Analyst,9,8,1,0.8889,1920.89,16021
2026-01-17,study_notes,Product Manager,14,14,0,1.0,2141.93,24809
2026-01-17,study_notes,Software Engineer,30,23,7,0.7667,2178.8,47149
2026-01-17,study_notes,UX Designer,25,24,1,0.96,2106.56,43339
2026-01-18,exam_generation,Data Analyst,3,3,0,1.0,974.33,5066
2026-01-18,exam_generation,Finance Analyst,5,5,0,1.0,1985.8,7509
2026-01-18,exam_generation,Product Manager,4,4,0,1.0,1544.75,5980
2026-01-18,exam_generation,Software Engineer,13,12,1,0.9231,1792.23,18807
2026-01-18,exam_generation,UX Designer,1,1,0,1.0,1077.0,1816
2026-01-18,job_analysis,Data Analyst,8,8,0,1.0,1686.75,11530
2026-01-18,job_analysis,Finance Analyst,5,4,1,0.8,1455.4,5561
2026-01-18,job_analysis,Product Manager,7,7,0,1.0,1647.29,10949
2026-01-18,job_analysis,Software Engineer,7,7,0,1.0,1914.0,10049
2026-01-18,job_analysis,UX Designer,9,9,0,1.0,2040.22,12154
2026-01-18,mock_interview,Finance Analyst,2,2,0,1.0,631.0,3411
2026-01-18,prep_plan,Data Analyst,6,6,0,1.0,1488.83,8533
2026-01-18,prep_plan,Finance Analyst,3,3,0,1.0,1504.0,4406
2026-01-18,prep_plan,Product Manager,3,3,0,1.0,2065.33,4334
2026-01-18,prep_plan,Software Engineer,5,5,0,1.0,1893.2,7410
2026-01-18,prep_plan,UX Designer,3,3,0,1.0,1892.67,4539
2026-01-18,study_notes,Data Analyst,23,22,1,0.9565,2120.26,37980
2026-01-18,study_notes,Finance Analyst,18,16,2,0.8889,2060.11,31372
2026-01-18,study_notes,Product Manager,22,22,0,1.0,2080.0,43587
2026-01-18,study_notes,Software Engineer,28,26,2,0.9286,2244.57,50004
2026-01-18,study_notes,UX Designer,31,31,0,1.0,2056.26,57053
2026-01-19,exam_generation,Data Analyst,4,3,1,0.75,1792.25,5486
2026-01-19,exam_generation,Finance Analyst,2,2,0,1.0,1702.0,3080
2026-01-19,exam_generation,Product Manager,7,7,0,1.0,1441.14,9585
2026-01-19,exam_generation,Software Engineer,6,6,0,1.0,1977.67,7922
2026-01-19,exam_generation,UX Designer,7,7,0,1.0,1550.0,11826
2026-01-19,job_analysis,Data Analyst,9,9,0,1.0,1440.22,12358
2026-01-19,job_analysis,Finance Analyst,6,6,0,1.0,1576.0,8743
2026-01-19,job_analysis,Product Manager,10,8,2,0.8,1603.7,14959
2026-01-19,job_analysis,Software Engineer,5,5,0,1.0,1554.8,7452
2026-01-19,job_analysis,UX Designer,5,5,0,1.0,1889.4,7518
2026-01-19,mock_interview,Data Analyst,1,1,0,1.0,1717.0,1464
2026-01-19,mock_interview,Software Engineer,1,1,0,1.0,1783.0,1327
2026-01-19,mock_interview,UX Designer,1,1,0,1.0,1415.0,1248
2026-01-19,prep_plan,Data Analyst,4,3,1,0.75,1776.0,5850
2026-01-19,prep_plan,Finance Analyst,2,2,0,1.0,1987.5,2086
2026-01-19,prep_plan,Product Manager,2,2,0,1.0,1706.5,3196
2026-01-19,prep_plan,Software Engineer,8,8,0,1.0,1758.0,12123
2026-01-19,prep_plan,UX Designer,4,4,0,1.0,1606.0,5166
2026-01-19,study_notes,Data Analyst,31,30,1,0.9677,2201.74,57315
2026-01-19,study_notes,Finance Analyst,24,23,1,0.9583,2161.67,43704
2026-01-19,study_notes,Product Manager,24,23,1,0.9583,2010.62,43839
2026-01-19,study_notes,Software Engineer,30,28,2,0.9333,2290.73,54119
2026-01-19,study_notes,UX Designer,32,31,1,0.9688,2047.38,59285
2026-01-20,exam_generation,Data Analyst,7,6,1,0.8571,1778.14,10048
2026-01-20,exam_generation,Finance Analyst,3,2,1,0.6667,1778.33,3102
2026-01-20,exam_generation,Software Engineer,8,8,0,1.0,1442.5,12894
2026-01-20,exam_generation,UX Designer,6,5,1,0.8333,1446.17,7833
2026-01-20,job_analysis,Data Analyst,8,7,1,0.875,1800.25,11840
2026-01-20,job_analysis,Finance Analyst,4,4,0,1.0,949.0,5707
2026-01-20,job_analysis,Product Manager,7,7,0,1.0,1861.57,11110
2026-01-20,job_analysis,Software Engineer,9,9,0,1.0,1352.11,14748
2026-01-20,job_analysis,UX Designer,10,10,0,1.0,1598.6,15739
2026-01-20,prep_plan,Data Analyst,5,5,0,1.0,1074.8,6898
2026-01-20,prep_plan,Finance Analyst,2,2,0,1.0,1382.5,3716
2026-01-20,prep_plan,Product Manager,6,6,0,1.0,1371.67,10662
2026-01-20,prep_plan,Software Engineer,6,6,0,1.0,1783.83,9471
2026-01-20,prep_plan,UX Designer,4,4,0,1.0,1464.5,5953
2026-01-20,study_notes,Data Analyst,29,27,2,0.931,2066.07,52746
2026-01-20,study_notes,Finance Analyst,24,24,0,1.0,1950.25,45442
2026-01-20,study_notes,Product Manager,18,18,0,1.0,2124.06,33774
2026-01-20,study_notes,Software Engineer,40,38,2,0.95,2145.28,70811
2026-01-20,study_notes,UX Designer,30,27,3,0.9,2288.07,52530
2026-01-21,exam_generation,Data Analyst,8,8,0,1.0,1547.38,11554
2026-01-21,exam_generation,Finance Analyst,1,1,0,1.0,1486.0,1814
2026-01-21,exam_generation,Product Manager,2,2,0,1.0,1690.0,2619
2026-01-21,exam_generation,Software Engineer,7,7,0,1.0,1693.29,10655
2026-01-21,exam_generation,UX Designer,5,4,1,0.8,1774.2,6930
2026-01-21,job_analysis,Data Analyst,8,8,0,1.0,1487.75,12799
2026-01-21,job_analysis,Finance Analyst,5,5,0,1.0,1875.6,8096
2026-01-21,job_analysis,Product Manager,8,7,1,0.875,1853.5,10462
2026-01-21,job_analysis,Software Engineer,7,6,1,0.8571,1344.71,8930
2026-01-21,job_analysis,UX Designer,9,9,0,1.0,1581.56,13208
2026-01-21,mock_interview,Software Engineer,1,1,0,1.0,1705.0,1082
2026-01-21,prep_plan,Data Analyst,3,3,0,1.0,1498.67,5323
2026-01-21,prep_plan,Finance Analyst,3,3,0,1.0,1376.67,4676
2026-01-21,prep_plan,Product Manager,6,6,0,1.0,1513.83,9021
2026-01-21,prep_plan,Software Engineer,6,5,1,0.8333,1726.17,8553
2026-01-21,prep_plan,UX Designer,9,9,0,1.0,1763.56,13485
2026-01-21,study_notes,Data Analyst,37,34,3,0.9189,2210.22,64984
2026-01-21,study_notes,Finance Analyst,21,20,1,0.9524,2238.9,38272
2026-01-21,study_notes,Product Manager,26,24,2,0.9231,2121.38,45619
2026-01-21,study_notes,Software Engineer,46,45,1,0.9783,2098.57,85889
2026-01-21,study_notes,UX Designer,28,26,2,0.9286,2181.5,50711
2026-01-22,exam_generation,Data Analyst,4,4,0,1.0,1613.5,6083
2026-01-22,exam_generation,Finance Analyst,4,4,0,1.0,1945.25,5624
2026-01-22,exam_generation,Product Manager,4,4,0,1.0,1136.0,6893
2026-01-22,exam_generation,Software Engineer,10,8,2,0.8,1719.9,13193
2026-01-22,exam_generation,UX Designer,8,8,0,1.0,1628.62,11835
2026-01-22,job_analysis,Data Analyst,7,6,1,0.8571,1298.29,7653
2026-01-22,job_analysis,Finance Analyst,3,3,0,1.0,1036.33,3653
2026-01-22,job_analysis,Product Manager,6,6,0,1.0,1553.83,9160
2026-01-22,job_analysis,Software Engineer,5,4,1,0.8,1566.2,6043
2026-01-22,job_analysis,UX Designer,15,14,1,0.9333,1553.2,21502
2026-01-22,mock_interview,Data Analyst,1,1,0,1.0,2417.0,1536
2026-01-22,mock_interview,Product Manager,1,1,0,1.0,1925.0,1923
