cohort_week,acquisition_channel,target_role,step_order,funnel_step,users_reached,conversion_from_signup,conversion_from_previous_step
2025-12-29,Handshake extension,Software Engineer,4,Prep plan generated,8,0.6667,0.8889
2025-12-29,Handshake extension,Software Engineer,5,First note completed,8,0.6667,1.0
2025-12-29,Handshake extension,Software Engineer,6,Exam submitted,4,0.3333,0.5
2025-12-29,Handshake extension,Software Engineer,7,Mock interview completed,1,0.0833,0.25
2025-12-29,Handshake extension,UX Designer,1,Account created,13,1.0,1.0
2025-12-29,Handshake extension,UX Designer,2,Logged in,13,1.0,1.0
2025-12-29,Handshake extension,UX Designer,3,Job saved,9,0.6923,0.6923
2025-12-29,Handshake extension,UX Designer,4,Prep plan generated,7,0.5385,0.7778
2025-12-29,Handshake extension,UX Designer,5,First note completed,7,0.5385,1.0
2025-12-29,Handshake extension,UX Designer,6,Exam submitted,5,0.3846,0.7143
2025-12-29,Handshake extension,UX Designer,7,Mock interview completed,2,0.1538,0.4
2025-12-29,LinkedIn extension,Data Analyst,1,Account created,11,1.0,1.0
2025-12-29,LinkedIn extension,Data Analyst,2,Logged in,9,0.8182,0.8182
2025-12-29,LinkedIn extension,Data Analyst,3,Job saved,7,0.6364,0.7778
2025-12-29,LinkedIn extension,Data Analyst,4,Prep plan generated,6,0.5455,0.8571
2025-12-29,LinkedIn extension,Data Analyst,5,First note completed,6,0.5455,1.0
2025-12-29,LinkedIn extension,Data Analyst,6,Exam submitted,3,0.2727,0.5
2025-12-29,LinkedIn extension,Data Analyst,7,Mock interview completed,2,0.1818,0.6667
2025-12-29,LinkedIn extension,Finance Analyst,1,Account created,11,1.0,1.0
2025-12-29,LinkedIn extension,Finance Analyst,2,Logged in,11,1.0,1.0
2025-12-29,LinkedIn extension,Finance Analyst,3,Job saved,6,0.5455,0.5455
2025-12-29,LinkedIn extension,Finance Analyst,4,Prep plan generated,4,0.3636,0.6667
2025-12-29,LinkedIn extension,Finance Analyst,5,First note completed,4,0.3636,1.0
2025-12-29,LinkedIn extension,Finance Analyst,6,Exam submitted,3,0.2727,0.75
2025-12-29,LinkedIn extension,Finance Analyst,7,Mock interview completed,1,0.0909,0.3333
2025-12-29,LinkedIn extension,Product Manager,1,Account created,12,1.0,1.0
2025-12-29,LinkedIn extension,Product Manager,2,Logged in,12,1.0,1.0
2025-12-29,LinkedIn extension,Product Manager,3,Job saved,8,0.6667,0.6667
2025-12-29,LinkedIn extension,Product Manager,4,Prep plan generated,5,0.4167,0.625
2025-12-29,LinkedIn extension,Product Manager,5,First note completed,5,0.4167,1.0
2025-12-29,LinkedIn extension,Product Manager,6,Exam submitted,3,0.25,0.6
2025-12-29,LinkedIn extension,Product Manager,7,Mock interview completed,0,0.0,0.0
2025-12-29,LinkedIn extension,Software Engineer,1,Account created,19,1.0,1.0
2025-12-29,LinkedIn extension,Software Engineer,2,Logged in,18,0.9474,0.9474
2025-12-29,LinkedIn extension,Software Engineer,3,Job saved,13,0.6842,0.7222
2025-12-29,LinkedIn extension,Software Engineer,4,Prep plan generated,7,0.3684,0.5385
2025-12-29,LinkedIn extension,Software Engineer,5,First note completed,7,0.3684,1.0
2025-12-29,LinkedIn extension,Software Engineer,6,Exam submitted,4,0.2105,0.5714
2025-12-29,LinkedIn extension,Software Engineer,7,Mock interview completed,2,0.1053,0.5
2025-12-29,LinkedIn extension,UX Designer,1,Account created,9,1.0,1.0
2025-12-29,LinkedIn extension,UX Designer,2,Logged in,9,1.0,1.0
2025-12-29,LinkedIn extension,UX Designer,3,Job saved,6,0.6667,0.6667
2025-12-29,LinkedIn extension,UX Designer,4,Prep plan generated,6,0.6667,1.0
2025-12-29,LinkedIn extension,UX Designer,5,First note completed,6,0.6667,1.0
2025-12-29,LinkedIn extension,UX Designer,6,Exam submitted,4,0.4444,0.6667
2025-12-29,LinkedIn extension,UX Designer,7,Mock interview completed,1,0.1111,0.25
2025-12-29,Manual paste,Data Analyst,1,Account created,9,1.0,1.0
2025-12-29,Manual paste,Data Analyst,2,Logged in,8,0.8889,0.8889
2025-12-29,Manual paste,Data Analyst,3,Job saved,5,0.5556,0.625
2025-12-29,Manual paste,Data Analyst,4,Prep plan generated,4,0.4444,0.8
2025-12-29,Manual paste,Data Analyst,5,First note completed,4,0.4444,1.0
2025-12-29,Manual paste,Data Analyst,6,Exam submitted,3,0.3333,0.75
2025-12-29,Manual paste,Data Analyst,7,Mock interview completed,1,0.1111,0.3333
2025-12-29,Manual paste,Finance Analyst,1,Account created,8,1.0,1.0
2025-12-29,Manual paste,Finance Analyst,2,Logged in,7,0.875,0.875
2025-12-29,Manual paste,Finance Analyst,3,Job saved,4,0.5,0.5714
2025-12-29,Manual paste,Finance Analyst,4,Prep plan generated,4,0.5,1.0
2025-12-29,Manual paste,Finance Analyst,5,First note completed,4,0.5,1.0
2025-12-29,Manual paste,Finance Analyst,6,Exam submitted,2,0.25,0.5
2025-12-29,Manual paste,Finance Analyst,7,Mock interview completed,1,0.125,0.5
2025-12-29,Manual paste,Product Manager,1,Account created,14,1.0,1.0
2025-12-29,Manual paste,Product Manager,2,Logged in,14,1.0,1.0
2025-12-29,Manual paste,Product Manager,3,Job saved,6,0.4286,0.4286
2025-12-29,Manual paste,Product Manager,4,Prep plan generated,5,0.3571,0.8333
2025-12-29,Manual paste,Product Manager,5,First note completed,5,0.3571,1.0
2025-12-29,Manual paste,Product Manager,6,Exam submitted,2,0.1429,0.4
2025-12-29,Manual paste,Product Manager,7,Mock interview completed,0,0.0,0.0
2025-12-29,Manual paste,Software Engineer,1,Account created,13,1.0,1.0
2025-12-29,Manual paste,Software Engineer,2,Logged in,9,0.6923,0.6923
2025-12-29,Manual paste,Software Engineer,3,Job saved,6,0.4615,0.6667
2025-12-29,Manual paste,Software Engineer,4,Prep plan generated,5,0.3846,0.8333
2025-12-29,Manual paste,Software Engineer,5,First note completed,5,0.3846,1.0
2025-12-29,Manual paste,Software Engineer,6,Exam submitted,4,0.3077,0.8
2025-12-29,Manual paste,Software Engineer,7,Mock interview completed,2,0.1538,0.5
2025-12-29,Manual paste,UX Designer,1,Account created,9,1.0,1.0
2025-12-29,Manual paste,UX Designer,2,Logged in,8,0.8889,0.8889
2025-12-29,Manual paste,UX Designer,3,Job saved,5,0.5556,0.625
2025-12-29,Manual paste,UX Designer,4,Prep plan generated,4,0.4444,0.8
2025-12-29,Manual paste,UX Designer,5,First note completed,4,0.4444,1.0
2025-12-29,Manual paste,UX Designer,6,Exam submitted,3,0.3333,0.75
2025-12-29,Manual paste,UX Designer,7,Mock interview completed,1,0.1111,0.3333
2026-01-05,Company career site,Data Analyst,1,Account created,10,1.0,1.0
2026-01-05,Company career site,Data Analyst,2,Logged in,10,1.0,1.0
2026-01-05,Company career site,Data Analyst,3,Job saved,6,0.6,0.6
2026-01-05,Company career site,Data Analyst,4,Prep plan generated,5,0.5,0.8333
2026-01-05,Company career site,Data Analyst,5,First note completed,5,0.5,1.0
2026-01-05,Company career site,Data Analyst,6,Exam submitted,2,0.2,0.4
2026-01-05,Company career site,Data Analyst,7,Mock interview completed,0,0.0,0.0
2026-01-05,Company career site,Finance Analyst,1,Account created,12,1.0,1.0
2026-01-05,Company career site,Finance Analyst,2,Logged in,10,0.8333,0.8333
2026-01-05,Company career site,Finance Analyst,3,Job saved,8,0.6667,0.8
2026-01-05,Company career site,Finance Analyst,4,Prep plan generated,7,0.5833,0.875
2026-01-05,Company career site,Finance Analyst,5,First note completed,7,0.5833,1.0
2026-01-05,Company career site,Finance Analyst,6,Exam submitted,6,0.5,0.8571
2026-01-05,Company career site,Finance Analyst,7,Mock interview completed,2,0.1667,0.3333
2026-01-05,Company career site,Product Manager,1,Account created,9,1.0,1.0
2026-01-05,Company career site,Product Manager,2,Logged in,9,1.0,1.0
2026-01-05,Company career site,Product Manager,3,Job saved,6,0.6667,0.6667
2026-01-05,Company career site,Product Manager,4,Prep plan generated,3,0.3333,0.5
2026-01-05,Company career site,Product Manager,5,First note completed,3,0.3333,1.0
2026-01-05,Company career site,Product Manager,6,Exam submitted,2,0.2222,0.6667
2026-01-05,Company career site,Product Manager,7,Mock interview completed,0,0.0,0.0
2026-01-05,Company career site,Software Engineer,1,Account created,10,1.0,1.0
2026-01-05,Company career site,Software Engineer,2,Logged in,10,1.0,1.0
2026-01-05,Company career site,Software Engineer,3,Job saved,8,0.8,0.8
2026-01-05,Company career site,Software Engineer,4,Prep plan generated,7,0.7,0.875
2026-01-05,Company career site,Software Engineer,5,First note completed,7,0.7,1.0
2026-01-05,Company career site,Software Engineer,6,Exam submitted,4,0.4,0.5714
2026-01-05,Company career site,Software Engineer,7,Mock interview completed,2,0.2,0.5
2026-01-05,Company career site,UX Designer,1,Account created,16,1.0,1.0
2026-01-05,Company career site,UX Designer,2,Logged in,13,0.8125,0.8125
2026-01-05,Company career site,UX Designer,3,Job saved,7,0.4375,0.5385
2026-01-05,Company career site,UX Designer,4,Prep plan generated,5,0.3125,0.7143
2026-01-05,Company career site,UX Designer,5,First note completed,5,0.3125,1.0
2026-01-05,Company career site,UX Designer,6,Exam submitted,3,0.1875,0.6
2026-01-05,Company career site,UX Designer,7,Mock interview completed,0,0.0,0.0
2026-01-05,Handshake extension,Data Analyst,1,Account created,15,1.0,1.0
2026-01-05,Handshake extension,Data Analyst,2,Logged in,15,1.0,1.0
2026-01-05,Handshake extension,Data Analyst,3,Job saved,11,0.7333,0.7333
2026-01-05,Handshake extension,Data Analyst,4,Prep plan generated,6,0.4,0.5455
2026-01-05,Handshake extension,Data Analyst,5,First note completed,6,0.4,1.0
2026-01-05,Handshake extension,Data Analyst,6,Exam submitted,5,0.3333,0.8333
2026-01-05,Handshake extension,Data Analyst,7,Mock interview completed,1,0.0667,0.2
2026-01-05,Handshake extension,Finance Analyst,1,Account created,12,1.0,1.0
2026-01-05,Handshake extension,Finance Analyst,2,Logged in,11,0.9167,0.9167
2026-01-05,Handshake extension,Finance Analyst,3,Job saved,7,0.5833,0.6364
2026-01-05,Handshake extension,Finance Analyst,4,Prep plan generated,5,0.4167,0.7143
2026-01-05,Handshake extension,Finance Analyst,5,First note completed,5,0.4167,1.0
2026-01-05,Handshake extension,Finance Analyst,6,Exam submitted,4,0.3333,0.8
2026-01-05,Handshake extension,Finance Analyst,7,Mock interview completed,0,0.0,0.0
2026-01-05,Handshake extension,Product Manager,1,Account created,15,1.0,1.0
2026-01-05,Handshake extension,Product Manager,2,Logged in,14,0.9333,0.9333
2026-01-05,Handshake extension,Product Manager,3,Job saved,9,0.6,0.6429
2026-01-05,Handshake extension,Product Manager,4,Prep plan generated,6,0.4,0.6667
2026-01-05,Handshake extension,Product Manager,5,First note completed,6,0.4,1.0
2026-01-05,Handshake extension,Product Manager,6,Exam submitted,6,0.4,1.0
2026-01-05,Handshake extension,Product Manager,7,Mock interview completed,3,0.2,0.5
2026-01-05,Handshake extension,Software Engineer,1,Account created,10,1.0,1.0
2026-01-05,Handshake extension,Software Engineer,2,Logged in,10,1.0,1.0
2026-01-05,Handshake extension,Software Engineer,3,Job saved,9,0.9,0.9
2026-01-05,Handshake extension,Software Engineer,4,Prep plan generated,8,0.8,0.8889
2026-01-05,Handshake extension,Software Engineer,5,First note completed,8,0.8,1.0
2026-01-05,Handshake extension,Software Engineer,6,Exam submitted,6,0.6,0.75
2026-01-05,Handshake extension,Software Engineer,7,Mock interview completed,1,0.1,0.1667
2026-01-05,Handshake extension,UX Designer,1,Account created,17,1.0,1.0
2026-01-05,Handshake extension,UX Designer,2,Logged in,16,0.9412,0.9412
2026-01-05,Handshake extension,UX Designer,3,Job saved,15,0.8824,0.9375
2026-01-05,Handshake extension,UX Designer,4,Prep plan generated,11,0.6471,0.7333
2026-01-05,Handshake extension,UX Designer,5,First note completed,11,0.6471,1.0
2026-01-05,Handshake extension,UX Designer,6,Exam submitted,7,0.4118,0.6364
2026-01-05,Handshake extension,UX Designer,7,Mock interview completed,1,0.0588,0.1429
2026-01-05,LinkedIn extension,Data Analyst,1,Account created,18,1.0,1.0
2026-01-05,LinkedIn extension,Data Analyst,2,Logged in,15,0.8333,0.8333
2026-01-05,LinkedIn extension,Data Analyst,3,Job saved,9,0.5,0.6
2026-01-05,LinkedIn extension,Data Analyst,4,Prep plan generated,9,0.5,1.0
2026-01-05,LinkedIn extension,Data Analyst,5,First note completed,9,0.5,1.0
2026-01-05,LinkedIn extension,Data Analyst,6,Exam submitted,7,0.3889,0.7778
2026-01-05,LinkedIn extension,Data Analyst,7,Mock interview completed,6,0.3333,0.8571
2026-01-05,LinkedIn extension,Finance Analyst,1,Account created,20,1.0,1.0
2026-01-05,LinkedIn extension,Finance Analyst,2,Logged in,19,0.95,0.95
2026-01-05,LinkedIn extension,Finance Analyst,3,Job saved,10,0.5,0.5263
2026-01-05,LinkedIn extension,Finance Analyst,4,Prep plan generated,7,0.35,0.7
2026-01-05,LinkedIn extension,Finance Analyst,5,First note completed,7,0.35,1.0
2026-01-05,LinkedIn extension,Finance Analyst,6,Exam submitted,6,0.3,0.8571
2026-01-05,LinkedIn extension,Finance Analyst,7,Mock interview completed,5,0.25,0.8333
2026-01-05,LinkedIn extension,Product Manager,1,Account created,11,1.0,1.0
2026-01-05,LinkedIn extension,Product Manager,2,Logged in,11,1.0,1.0
2026-01-05,LinkedIn extension,Product Manager,3,Job saved,8,0.7273,0.7273
2026-01-05,LinkedIn extension,Product Manager,4,Prep plan generated,6,0.5455,0.75
2026-01-05,LinkedIn extension,Product Manager,5,First note completed,6,0.5455,1.0
2026-01-05,LinkedIn extension,Product Manager,6,Exam submitted,4,0.3636,0.6667
2026-01-05,LinkedIn extension,Product Manager,7,Mock interview completed,2,0.1818,0.5
2026-01-05,LinkedIn extension,Software Engineer,1,Account created,15,1.0,1.0
2026-01-05,LinkedIn extension,Software Engineer,2,Logged in,14,0.9333,0.9333
2026-01-05,LinkedIn extension,Software Engineer,3,Job saved,10,0.6667,0.7143
2026-01-05,LinkedIn extension,Software Engineer,4,Prep plan generated,7,0.4667,0.7
2026-01-05,LinkedIn extension,Software Engineer,5,First note completed,7,0.4667,1.0
2026-01-05,LinkedIn extension,Software Engineer,6,Exam submitted,5,0.3333,0.7143
2026-01-05,LinkedIn extension,Software Engineer,7,Mock interview completed,1,0.0667,0.2
2026-01-05,LinkedIn extension,UX Designer,1,Account created,19,1.0,1.0
2026-01-05,LinkedIn extension,UX Designer,2,Logged in,15,0.7895,0.7895
2026-01-05,LinkedIn extension,UX Designer,3,Job saved,11,0.5789,0.7333
2026-01-05,LinkedIn extension,UX Designer,4,Prep plan generated,8,0.4211,0.7273
2026-01-05,LinkedIn extension,UX Designer,5,First note completed,8,0.4211,1.0
2026-01-05,LinkedIn extension,UX Designer,6,Exam submitted,7,0.3684,0.875
2026-01-05,LinkedIn extension,UX Designer,7,Mock interview completed,3,0.1579,0.4286
2026-01-05,Manual paste,Data Analyst,1,Account created,19,1.0,1.0
2026-01-05,Manual paste,Data Analyst,2,Logged in,18,0.9474,0.9474
2026-01-05,Manual paste,Data Analyst,3,Job saved,12,0.6316,0.6667
2026-01-05,Manual paste,Data Analyst,4,Prep plan generated,11,0.5789,0.9167
2026-01-05,Manual paste,Data Analyst,5,First note completed,11,0.5789,1.0
2026-01-05,Manual paste,Data Analyst,6,Exam submitted,6,0.3158,0.5455
2026-01-05,Manual paste,Data Analyst,7,Mock interview completed,0,0.0,0.0
2026-01-05,Manual paste,Finance Analyst,1,Account created,13,1.0,1.0
2026-01-05,Manual paste,Finance Analyst,2,Logged in,11,0.8462,0.8462
2026-01-05,Manual paste,Finance Analyst,3,Job saved,9,0.6923,0.8182
2026-01-05,Manual paste,Finance Analyst,4,Prep plan generated,5,0.3846,0.5556
2026-01-05,Manual paste,Finance Analyst,5,First note completed,5,0.3846,1.0
2026-01-05,Manual paste,Finance Analyst,6,Exam submitted,3,0.2308,0.6
2026-01-05,Manual paste,Finance Analyst,7,Mock interview completed,0,0.0,0.0
2026-01-05,Manual paste,Product Manager,1,Account created,12,1.0,1.0
2026-01-05,Manual paste,Product Manager,2,Logged in,12,1.0,1.0
2026-01-05,Manual paste,Product Manager,3,Job saved,5,0.4167,0.4167
2026-01-05,Manual paste,Product Manager,4,Prep plan generated,2,0.1667,0.4
2026-01-05,Manual paste,Product Manager,5,First note completed,2,0.1667,1.0
2026-01-05,Manual paste,Product Manager,6,Exam submitted,1,0.0833,0.5
2026-01-05,Manual paste,Product Manager,7,Mock interview completed,0,0.0,0.0
2026-01-05,Manual paste,Software Engineer,1,Account created,18,1.0,1.0
2026-01-05,Manual paste,Software Engineer,2,Logged in,16,0.8889,0.8889
2026-01-05,Manual paste,Software Engineer,3,Job saved,11,0.6111,0.6875
2026-01-05,Manual paste,Software Engineer,4,Prep plan generated,5,0.2778,0.4545
2026-01-05,Manual paste,Software Engineer,5,First note completed,5,0.2778,1.0
2026-01-05,Manual paste,Software Engineer,6,Exam submitted,4,0.2222,0.8
2026-01-05,Manual paste,Software Engineer,7,Mock interview completed,3,0.1667,0.75
2026-01-05,Manual paste,UX Designer,1,Account created,19,1.0,1.0
2026-01-05,Manual paste,UX Designer,2,Logged in,15,0.7895,0.7895
2026-01-05,Manual paste,UX Designer,3,Job saved,10,0.5263,0.6667
2026-01-05,Manual paste,UX Designer,4,Prep plan generated,7,0.3684,0.7
2026-01-05,Manual paste,UX Designer,5,First note completed,7,0.3684,1.0
2026-01-05,Manual paste,UX Designer,6,Exam submitted,4,0.2105,0.5714
2026-01-05,Manual paste,UX Designer,7,Mock interview completed,2,0.1053,0.5
2026-01-12,Company career site,Data Analyst,1,Account created,13,1.0,1.0
2026-01-12,Company career site,Data Analyst,2,Logged in,10,0.7692,0.7692
2026-01-12,Company career site,Data Analyst,3,Job saved,8,0.6154,0.8
2026-01-12,Company career site,Data Analyst,4,Prep plan generated,7,0.5385,0.875
2026-01-12,Company career site,Data Analyst,5,First note completed,7,0.5385,1.0
2026-01-12,Company career site,Data Analyst,6,Exam submitted,2,0.1538,0.2857
2026-01-12,Company career site,Data Analyst,7,Mock interview completed,0,0.0,0.0
2026-01-12,Company career site,Finance Analyst,1,Account created,5,1.0,1.0
2026-01-12,Company career site,Finance Analyst,2,Logged in,5,1.0,1.0
2026-01-12,Company career site,Finance Analyst,3,Job saved,4,0.8,0.8
2026-01-12,Company career site,Finance Analyst,4,Prep plan generated,2,0.4,0.5
2026-01-12,Company career site,Finance Analyst,5,First note completed,2,0.4,1.0
2026-01-12,Company career site,Finance Analyst,6,Exam submitted,1,0.2,0.5
2026-01-12,Company career site,Finance Analyst,7,Mock interview completed,0,0.0,0.0
2026-01-12,Company career site,Product Manager,1,Account created,11,1.0,1.0
2026-01-12,Company career site,Product Manager,2,Logged in,10,0.9091,0.9091
2026-01-12,Company career site,Product Manager,3,Job saved,8,0.7273,0.8
2026-01-12,Company career site,Product Manager,4,Prep plan generated,4,0.3636,0.5
2026-01-12,Company career site,Product Manager,5,First note completed,4,0.3636,1.0
2026-01-12,Company career site,Product Manager,6,Exam submitted,4,0.3636,1.0
2026-01-12,Company career site,Product Manager,7,Mock interview completed,2,0.1818,0.5
2026-01-12,Company career site,Software Engineer,1,Account created,15,1.0,1.0
2026-01-12,Company career site,Software Engineer,2,Logged in,14,0.9333,0.9333
2026-01-12,Company career site,Software Engineer,3,Job saved,7,0.4667,0.5
2026-01-12,Company career site,Software Engineer,4,Prep plan generated,4,0.2667,0.5714
2026-01-12,Company career site,Software Engineer,5,First note completed,4,0.2667,1.0
2026-01-12,Company career site,Software Engineer,6,Exam submitted,2,0.1333,0.5
2026-01-12,Company career site,Software Engineer,7,Mock interview completed,1,0.0667,0.5
2026-01-12,Company career site,UX Designer,1,Account created,14,1.0,1.0
2026-01-12,Company career site,UX Designer,2,Logged in,13,0.9286,0.9286
2026-01-12,Company career site,UX Designer,3,Job saved,9,0.6429,0.6923
2026-01-12,Company career site,UX Designer,4,Prep plan generated,6,0.4286,0.6667
2026-01-12,Company career site,UX Designer,5,First note completed,6,0.4286,1.0
2026-01-12,Company career site,UX Designer,6,Exam submitted,3,0.2143,0.5
2026-01-12,Company career site,UX Designer,7,Mock interview completed,2,0.1429,0.6667
2026-01-12,Handshake extension,Data Analyst,1,Account created,15,1.0,1.0
2026-01-12,Handshake extension,Data Analyst,2,Logged in,12,0.8,0.8
2026-01-12,Handshake extension,Data Analyst,3,Job saved,8,0.5333,0.6667
2026-01-12,Handshake extension,Data Analyst,4,Prep plan generated,6,0.4,0.75
2026-01-12,Handshake extension,Data Analyst,5,First note completed,6,0.4,1.0
2026-01-12,Handshake extension,Data Analyst,6,Exam submitted,6,0.4,1.0
2026-01-12,Handshake extension,Data Analyst,7,Mock interview completed,2,0.1333,0.3333
2026-01-12,Handshake extension,Finance Analyst,1,Account created,12,1.0,1.0
2026-01-12,Handshake extension,Finance Analyst,2,Logged in,12,1.0,1.0
2026-01-12,Handshake extension,Finance Analyst,3,Job saved,11,0.9167,0.9167
2026-01-12,Handshake extension,Finance Analyst,4,Prep plan generated,8,0.6667,0.7273
2026-01-12,Handshake extension,Finance Analyst,5,First note completed,8,0.6667,1.0
2026-01-12,Handshake extension,Finance Analyst,6,Exam submitted,7,0.5833,0.875
2026-01-12,Handshake extension,Finance Analyst,7,Mock interview completed,2,0.1667,0.2857
2026-01-12,Handshake extension,Product Manager,1,Account created,16,1.0,1.0
2026-01-12,Handshake extension,Product Manager,2,Logged in,16,1.0,1.0
2026-01-12,Handshake extension,Product Manager,3,Job saved,11,0.6875,0.6875
2026-01-12,Handshake extension,Product Manager,4,Prep plan generated,11,0.6875,1.0
2026-01-12,Handshake extension,Product Manager,5,First note completed,11,0.6875,1.0
2026-01-12,Handshake extension,Product Manager,6,Exam submitted,7,0.4375,0.6364
2026-01-12,Handshake extension,Product Manager,7,Mock interview completed,4,0.25,0.5714
2026-01-12,Handshake extension,Software Engineer,1,Account created,18,1.0,1.0
2026-01-12,Handshake extension,Software Engineer,2,Logged in,18,1.0,1.0
2026-01-12,Handshake extension,Software Engineer,3,Job saved,14,0.7778,0.7778
2026-01-12,Handshake extension,Software Engineer,4,Prep plan generated,8,0.4444,0.5714
2026-01-12,Handshake extension,Software Engineer,5,First note completed,8,0.4444,1.0
2026-01-12,Handshake extension,Software Engineer,6,Exam submitted,5,0.2778,0.625
2026-01-12,Handshake extension,Software Engineer,7,Mock interview completed,2,0.1111,0.4
2026-01-12,Handshake extension,UX Designer,1,Account created,14,1.0,1.0
2026-01-12,Handshake extension,UX Designer,2,Logged in,12,0.8571,0.8571
2026-01-12,Handshake extension,UX Designer,3,Job saved,11,0.7857,0.9167
2026-01-12,Handshake extension,UX Designer,4,Prep plan generated,8,0.5714,0.7273
2026-01-12,Handshake extension,UX Designer,5,First note completed,8,0.5714,1.0
2026-01-12,Handshake extension,UX Designer,6,Exam submitted,7,0.5,0.875
2026-01-12,Handshake extension,UX Designer,7,Mock interview completed,3,0.2143,0.4286
2026-01-12,LinkedIn extension,Data Analyst,1,Account created,26,1.0,1.0
2026-01-12,LinkedIn extension,Data Analyst,2,Logged in,23,0.8846,0.8846
2026-01-12,LinkedIn extension,Data Analyst,3,Job saved,13,0.5,0.5652
