event_date,acquisition_channel,target_role,active_users,signups,job_saves,plans_generated,notes_completed,exams_submitted,mocks_completed
2026-01-06,Company career site,UX Designer,2,2,0,0,0,0,0
2026-01-06,Handshake extension,Data Analyst,3,1,1,0,0,0,0
2026-01-06,Handshake extension,Finance Analyst,6,2,1,0,1,0,0
2026-01-06,Handshake extension,Product Manager,1,1,0,0,0,0,0
2026-01-06,Handshake extension,Software Engineer,7,5,1,1,1,0,0
2026-01-06,Handshake extension,UX Designer,4,1,0,0,1,0,0
2026-01-06,LinkedIn extension,Data Analyst,3,1,0,2,0,0,0
2026-01-06,LinkedIn extension,Finance Analyst,3,2,0,0,0,0,0
2026-01-06,LinkedIn extension,Product Manager,4,3,1,1,1,0,0
2026-01-06,LinkedIn extension,Software Engineer,8,2,5,0,1,0,0
2026-01-06,LinkedIn extension,UX Designer,3,2,0,0,0,0,0
2026-01-06,Manual paste,Data Analyst,4,0,3,1,1,0,0
2026-01-06,Manual paste,Finance Analyst,6,4,0,2,1,0,0
2026-01-06,Manual paste,Product Manager,4,0,0,0,0,0,0
2026-01-06,Manual paste,Software Engineer,5,5,0,0,0,0,0
2026-01-06,Manual paste,UX Designer,6,3,1,0,0,1,0
2026-01-07,Company career site,Data Analyst,4,1,1,0,1,0,0
2026-01-07,Company career site,Finance Analyst,5,3,2,0,0,0,0
2026-01-07,Company career site,Product Manager,1,1,0,0,0,0,0
2026-01-07,Company career site,Software Engineer,6,3,1,0,2,0,0
2026-01-07,Company career site,UX Designer,4,2,1,1,0,0,0
2026-01-07,Handshake extension,Data Analyst,6,4,1,1,1,0,0
2026-01-07,Handshake extension,Finance Analyst,3,1,0,1,1,0,0
2026-01-07,Handshake extension,Product Manager,3,2,0,1,0,0,0
2026-01-07,Handshake extension,Software Engineer,3,1,0,0,0,0,0
2026-01-07,Handshake extension,UX Designer,4,2,0,0,1,0,0
2026-01-07,LinkedIn extension,Data Analyst,4,2,0,0,2,0,0
2026-01-07,LinkedIn extension,Finance Analyst,5,3,2,0,0,0,0
2026-01-07,LinkedIn extension,Product Manager,2,0,1,0,1,0,0
2026-01-07,LinkedIn extension,Software Engineer,8,3,1,1,3,0,0
2026-01-07,LinkedIn extension,UX Designer,5,4,0,1,0,0,0
2026-01-07,Manual paste,Data Analyst,4,2,0,0,1,0,0
2026-01-07,Manual paste,Finance Analyst,2,1,0,0,0,0,0
2026-01-07,Manual paste,Product Manager,3,1,1,0,0,0,0
2026-01-07,Manual paste,Software Engineer,8,5,1,0,0,0,0
2026-01-07,Manual paste,UX Designer,4,2,2,0,0,0,0
2026-01-08,Company career site,Data Analyst,4,1,0,1,1,0,0
2026-01-08,Company career site,Finance Analyst,2,0,1,1,1,0,0
2026-01-08,Company career site,Product Manager,2,1,0,0,0,0,0
2026-01-08,Company career site,Software Engineer,3,0,0,0,0,1,0
2026-01-08,Company career site,UX Designer,5,3,1,0,0,0,0
2026-01-08,Handshake extension,Data Analyst,5,3,0,0,0,0,0
2026-01-08,Handshake extension,Finance Analyst,4,1,0,0,3,0,0
2026-01-08,Handshake extension,Product Manager,4,3,0,0,0,0,0
2026-01-08,Handshake extension,Software Engineer,5,1,2,0,0,0,0
2026-01-08,Handshake extension,UX Designer,6,2,3,0,1,0,0
2026-01-08,LinkedIn extension,Data Analyst,7,3,0,1,2,0,0
2026-01-08,LinkedIn extension,Finance Analyst,4,2,1,0,0,1,0
2026-01-08,LinkedIn extension,Product Manager,5,2,2,2,0,0,0
2026-01-08,LinkedIn extension,Software Engineer,5,1,0,2,1,0,0
2026-01-08,LinkedIn extension,UX Designer,6,2,4,1,1,0,0
2026-01-08,Manual paste,Data Analyst,6,2,1,1,2,0,0
2026-01-08,Manual paste,Finance Analyst,2,0,0,0,1,0,0
2026-01-08,Manual paste,Product Manager,1,0,0,0,0,0,0
2026-01-08,Manual paste,Software Engineer,5,0,3,0,1,0,0
2026-01-08,Manual paste,UX Designer,9,5,1,2,1,0,0
2026-01-09,Company career site,Data Analyst,6,2,2,1,0,0,0
2026-01-09,Company career site,Finance Analyst,4,3,1,0,1,0,0
2026-01-09,Company career site,Product Manager,2,0,1,1,0,0,0
2026-01-09,Company career site,Software Engineer,4,1,1,0,0,1,0
2026-01-09,Company career site,UX Designer,4,2,0,0,0,0,0
2026-01-09,Handshake extension,Data Analyst,10,4,5,0,2,0,0
2026-01-09,Handshake extension,Finance Analyst,7,3,2,1,2,0,0
2026-01-09,Handshake extension,Product Manager,5,4,1,0,1,0,0
2026-01-09,Handshake extension,Software Engineer,2,0,0,1,0,0,0
2026-01-09,Handshake extension,UX Designer,6,2,0,2,1,0,0
2026-01-09,LinkedIn extension,Data Analyst,6,1,1,0,1,0,0
2026-01-09,LinkedIn extension,Finance Analyst,6,2,1,2,0,0,0
2026-01-09,LinkedIn extension,Product Manager,4,1,0,1,4,0,0
2026-01-09,LinkedIn extension,Software Engineer,3,0,0,0,4,0,0
2026-01-09,LinkedIn extension,UX Designer,4,1,0,2,1,1,0
2026-01-09,Manual paste,Data Analyst,9,5,0,1,4,0,0
2026-01-09,Manual paste,Finance Analyst,3,1,0,0,0,0,0
2026-01-09,Manual paste,Product Manager,6,4,0,0,2,0,0
2026-01-09,Manual paste,Software Engineer,5,2,1,1,2,1,0
2026-01-09,Manual paste,UX Designer,7,2,2,1,0,0,0
2026-01-10,Company career site,Data Analyst,4,0,0,0,2,0,0
2026-01-10,Company career site,Finance Analyst,4,2,1,0,1,0,0
2026-01-10,Company career site,Product Manager,6,4,1,0,1,0,0
2026-01-10,Company career site,Software Engineer,6,3,2,1,4,0,1
2026-01-10,Company career site,UX Designer,4,1,3,0,1,0,0
2026-01-10,Handshake extension,Data Analyst,5,1,1,2,3,0,0
2026-01-10,Handshake extension,Finance Analyst,5,2,1,0,2,0,0
2026-01-10,Handshake extension,Product Manager,6,1,0,1,2,0,0
2026-01-10,Handshake extension,Software Engineer,3,1,0,0,0,0,0
2026-01-10,Handshake extension,UX Designer,7,1,2,1,2,0,0
2026-01-10,LinkedIn extension,Data Analyst,7,3,1,1,2,0,0
2026-01-10,LinkedIn extension,Finance Analyst,6,1,1,0,2,0,1
2026-01-10,LinkedIn extension,Product Manager,4,2,1,0,2,0,0
2026-01-10,LinkedIn extension,Software Engineer,7,1,2,0,2,0,0
2026-01-10,LinkedIn extension,UX Designer,8,3,2,1,5,0,0
2026-01-10,Manual paste,Data Analyst,5,1,0,0,2,1,0
2026-01-10,Manual paste,Finance Analyst,3,1,0,0,2,0,0
2026-01-10,Manual paste,Product Manager,4,1,1,0,1,0,0
2026-01-10,Manual paste,Software Engineer,7,4,1,0,1,1,0
2026-01-10,Manual paste,UX Designer,9,1,1,2,4,1,0
2026-01-11,Company career site,Data Analyst,6,2,2,0,1,1,0
2026-01-11,Company career site,Finance Analyst,2,0,1,0,1,0,0
2026-01-11,Company career site,Product Manager,4,1,1,0,0,0,0
2026-01-11,Company career site,Software Engineer,7,0,3,3,2,0,0
2026-01-11,Company career site,UX Designer,7,4,0,1,1,0,0
2026-01-11,Handshake extension,Data Analyst,5,1,1,1,1,1,1
2026-01-11,Handshake extension,Finance Analyst,9,1,1,2,3,1,0
2026-01-11,Handshake extension,Product Manager,5,4,0,0,0,1,0
2026-01-11,Handshake extension,Software Engineer,6,1,2,1,0,1,0
2026-01-11,Handshake extension,UX Designer,9,4,2,0,3,0,0
2026-01-11,LinkedIn extension,Data Analyst,12,4,2,2,1,1,0
2026-01-11,LinkedIn extension,Finance Analyst,11,6,2,0,2,0,0
2026-01-11,LinkedIn extension,Product Manager,6,1,0,0,4,0,0
2026-01-11,LinkedIn extension,Software Engineer,10,2,5,2,2,1,0
2026-01-11,LinkedIn extension,UX Designer,10,5,1,2,1,1,0
2026-01-11,Manual paste,Data Analyst,9,3,2,2,3,0,0
2026-01-11,Manual paste,Finance Analyst,8,4,1,0,1,0,0
2026-01-11,Manual paste,Product Manager,4,2,2,0,0,0,0
2026-01-11,Manual paste,Software Engineer,3,1,0,0,2,0,0
2026-01-11,Manual paste,UX Designer,7,2,1,0,1,1,0
2026-01-12,Company career site,Data Analyst,7,2,1,2,3,0,0
2026-01-12,Company career site,Finance Analyst,4,1,2,0,0,0,0
2026-01-12,Company career site,Product Manager,5,1,0,2,1,0,0
2026-01-12,Company career site,Software Engineer,8,0,2,1,4,2,0
2026-01-12,Company career site,UX Designer,6,1,0,0,1,1,0
2026-01-12,Handshake extension,Data Analyst,5,2,0,0,1,1,0
2026-01-12,Handshake extension,Finance Analyst,8,2,2,1,5,1,0
2026-01-12,Handshake extension,Product Manager,3,0,3,0,2,0,0
2026-01-12,Handshake extension,Software Engineer,8,4,0,1,4,0,0
2026-01-12,Handshake extension,UX Designer,8,2,1,0,2,0,0
2026-01-12,LinkedIn extension,Data Analyst,9,2,0,0,2,2,0
2026-01-12,LinkedIn extension,Finance Analyst,7,4,0,1,2,0,0
2026-01-12,LinkedIn extension,Product Manager,8,3,2,0,2,1,0
2026-01-12,LinkedIn extension,Software Engineer,10,1,2,3,3,2,0
2026-01-12,LinkedIn extension,UX Designer,13,6,3,0,5,1,0
2026-01-12,Manual paste,Data Analyst,10,3,2,0,3,1,0
2026-01-12,Manual paste,Finance Analyst,6,3,1,0,1,0,0
2026-01-12,Manual paste,Product Manager,7,3,0,1,1,0,0
2026-01-12,Manual paste,Software Engineer,7,3,1,0,2,0,0
2026-01-12,Manual paste,UX Designer,9,1,1,1,1,1,0
2026-01-13,Company career site,Data Analyst,8,2,1,1,2,0,0
2026-01-13,Company career site,Finance Analyst,2,0,0,1,1,0,0
2026-01-13,Company career site,Product Manager,5,1,2,0,1,0,0
2026-01-13,Company career site,Software Engineer,12,5,1,1,4,2,0
2026-01-13,Handshake extension,Data Analyst,8,2,3,0,4,0,0
2026-01-13,Handshake extension,Finance Analyst,7,1,2,1,5,0,0
2026-01-13,Handshake extension,Product Manager,6,3,2,1,1,0,0
2026-01-13,Handshake extension,Software Engineer,14,3,3,1,2,0,0
2026-01-13,Handshake extension,UX Designer,14,4,4,3,2,2,0
2026-01-13,LinkedIn extension,Data Analyst,7,1,1,1,2,1,2
2026-01-13,LinkedIn extension,Finance Analyst,11,2,3,1,1,2,0
2026-01-13,LinkedIn extension,Product Manager,8,4,1,0,1,1,0
2026-01-13,LinkedIn extension,Software Engineer,10,2,0,2,5,0,0
2026-01-13,LinkedIn extension,UX Designer,11,6,1,0,6,1,0
2026-01-13,Manual paste,Data Analyst,10,3,1,1,3,0,0
2026-01-13,Manual paste,Finance Analyst,7,1,2,1,2,0,0
2026-01-13,Manual paste,Product Manager,7,4,1,1,2,0,0
2026-01-13,Manual paste,Software Engineer,8,3,3,1,1,0,0
2026-01-13,Manual paste,UX Designer,8,1,1,1,4,0,1
2026-01-14,Company career site,Data Analyst,7,0,3,1,0,2,0
2026-01-14,Company career site,Finance Analyst,4,0,3,0,1,0,0
2026-01-14,Company career site,Product Manager,5,0,1,1,2,2,0
2026-01-14,Company career site,Software Engineer,7,1,0,0,5,2,0
2026-01-14,Company career site,UX Designer,10,4,4,0,0,1,0
2026-01-14,Handshake extension,Data Analyst,6,1,1,0,5,1,0
2026-01-14,Handshake extension,Finance Analyst,8,1,0,1,6,2,1
2026-01-14,Handshake extension,Product Manager,3,0,0,1,2,0,0
2026-01-14,Handshake extension,Software Engineer,10,4,1,1,2,0,0
2026-01-14,Handshake extension,UX Designer,11,2,2,3,4,1,0
2026-01-14,LinkedIn extension,Data Analyst,17,7,3,2,5,1,1
2026-01-14,LinkedIn extension,Finance Analyst,10,4,0,2,1,1,0
2026-01-14,LinkedIn extension,Product Manager,13,4,3,0,3,0,1
2026-01-14,LinkedIn extension,Software Engineer,14,4,5,1,6,1,0
2026-01-14,LinkedIn extension,UX Designer,11,3,3,2,4,0,0
2026-01-14,Manual paste,Data Analyst,9,1,2,2,5,0,0
2026-01-14,Manual paste,Finance Analyst,6,2,0,2,2,1,0
2026-01-14,Manual paste,Product Manager,7,2,1,0,2,0,0
2026-01-14,Manual paste,Software Engineer,8,3,4,0,1,0,0
2026-01-14,Manual paste,UX Designer,8,4,0,0,1,0,0
2026-01-15,Company career site,Data Analyst,5,1,1,1,4,0,1
2026-01-15,Company career site,Finance Analyst,4,0,1,1,2,1,0
2026-01-15,Company career site,Product Manager,8,3,1,1,1,1,0
2026-01-15,Company career site,Software Engineer,7,1,0,1,3,0,1
2026-01-15,Company career site,UX Designer,5,2,1,0,1,0,0
2026-01-15,Handshake extension,Data Analyst,8,3,3,2,2,0,0
2026-01-15,Handshake extension,Finance Analyst,8,2,1,1,4,2,0
2026-01-15,Handshake extension,Product Manager,5,3,0,0,2,0,0
2026-01-15,Handshake extension,Software Engineer,11,1,3,1,4,1,0
2026-01-15,Handshake extension,UX Designer,12,0,2,1,9,0,0
2026-01-15,LinkedIn extension,Data Analyst,18,7,2,0,7,1,1
2026-01-15,LinkedIn extension,Finance Analyst,11,4,0,0,4,1,0
2026-01-15,LinkedIn extension,Product Manager,12,3,4,2,0,0,0
2026-01-15,LinkedIn extension,Software Engineer,13,4,1,2,6,3,0
2026-01-15,LinkedIn extension,UX Designer,13,4,0,1,4,1,0
2026-01-15,Manual paste,Data Analyst,12,2,3,0,6,0,0
2026-01-15,Manual paste,Finance Analyst,5,1,0,0,2,0,0
2026-01-15,Manual paste,Product Manager,8,1,3,1,2,0,0
2026-01-15,Manual paste,Software Engineer,9,2,3,3,1,1,0
2026-01-15,Manual paste,UX Designer,20,9,2,1,5,2,0
2026-01-16,Company career site,Data Analyst,8,1,2,0,4,0,0
2026-01-16,Company career site,Finance Analyst,6,1,1,1,3,2,0
2026-01-16,Company career site,Product Manager,4,1,0,0,2,0,0
2026-01-16,Company career site,Software Engineer,14,5,5,3,2,2,1
2026-01-16,Company career site,UX Designer,4,1,1,1,1,0,0
2026-01-16,Handshake extension,Data Analyst,10,1,2,1,6,0,0
2026-01-16,Handshake extension,Finance Analyst,7,1,0,1,11,0,0
2026-01-16,Handshake extension,Product Manager,8,3,2,0,1,0,0
2026-01-16,Handshake extension,Software Engineer,12,3,2,2,4,1,0
2026-01-16,Handshake extension,UX Designer,11,1,2,3,6,1,0
2026-01-16,LinkedIn extension,Data Analyst,16,3,1,2,7,3,0
2026-01-16,LinkedIn extension,Finance Analyst,12,2,2,0,9,0,0
2026-01-16,LinkedIn extension,Product Manager,12,3,3,3,3,0,0
2026-01-16,LinkedIn extension,Software Engineer,17,4,2,2,5,3,0
2026-01-16,LinkedIn extension,UX Designer,18,7,0,2,4,3,0
2026-01-16,Manual paste,Data Analyst,9,3,0,1,0,3,0
2026-01-16,Manual paste,Finance Analyst,9,2,2,0,3,1,0
2026-01-16,Manual paste,Product Manager,7,3,1,0,2,0,0
2026-01-16,Manual paste,Software Engineer,9,1,1,3,2,0,0
2026-01-16,Manual paste,UX Designer,12,1,2,1,3,2,1
2026-01-17,Company career site,Data Analyst,9,4,0,1,3,1,0
2026-01-17,Company career site,Finance Analyst,9,2,2,3,2,1,0
2026-01-17,Company career site,Product Manager,6,1,1,0,1,0,0
2026-01-17,Company career site,Software Engineer,13,1,5,0,6,4,0
2026-01-17,Company career site,UX Designer,6,2,2,3,1,2,0
2026-01-17,Handshake extension,Data Analyst,14,4,3,2,5,0,0
2026-01-17,Handshake extension,Finance Analyst,11,3,2,0,2,0,0
2026-01-17,Handshake extension,Product Manager,8,2,1,1,3,1,0
2026-01-17,Handshake extension,Software Engineer,13,0,4,4,3,2,0
2026-01-17,Handshake extension,UX Designer,16,2,2,2,7,3,0
2026-01-17,LinkedIn extension,Data Analyst,10,3,1,1,4,2,0
2026-01-17,LinkedIn extension,Finance Analyst,10,2,4,1,3,0,0
2026-01-17,LinkedIn extension,Product Manager,10,2,1,3,4,1,0
2026-01-17,LinkedIn extension,Software Engineer,16,2,5,0,10,1,0
2026-01-17,LinkedIn extension,UX Designer,15,4,1,0,6,2,0
2026-01-17,Manual paste,Data Analyst,11,1,4,1,4,2,0
2026-01-17,Manual paste,Finance Analyst,6,2,1,0,2,0,1
2026-01-17,Manual paste,Product Manager,14,7,2,1,2,0,0
2026-01-17,Manual paste,Software Engineer,9,3,3,0,3,0,0
2026-01-17,Manual paste,UX Designer,12,3,1,1,6,2,0
2026-01-18,Company career site,Data Analyst,8,3,1,1,5,1,0
2026-01-18,Company career site,Finance Analyst,9,1,2,1,4,1,0
2026-01-18,Company career site,Product Manager,7,4,0,0,2,3,0
2026-01-18,Company career site,Software Engineer,12,2,0,2,5,7,0
2026-01-18,Company career site,UX Designer,9,4,2,0,2,0,0
2026-01-18,Handshake extension,Data Analyst,12,2,2,3,3,0,0
2026-01-18,Handshake extension,Finance Analyst,10,2,1,1,5,3,0
2026-01-18,Handshake extension,Product Manager,15,5,3,2,4,1,0
2026-01-18,Handshake extension,Software Engineer,13,3,2,1,1,1,0
2026-01-18,Handshake extension,UX Designer,17,3,3,0,10,0,0
2026-01-18,LinkedIn extension,Data Analyst,14,3,3,1,5,0,0
2026-01-18,LinkedIn extension,Finance Analyst,9,1,1,1,3,1,1
2026-01-18,LinkedIn extension,Product Manager,16,5,3,1,9,0,0
2026-01-18,LinkedIn extension,Software Engineer,17,5,1,0,7,3,0
2026-01-18,LinkedIn extension,UX Designer,13,3,2,2,6,1,0
2026-01-18,Manual paste,Data Analyst,13,3,3,1,3,2,0
2026-01-18,Manual paste,Finance Analyst,5,2,1,0,1,0,0
2026-01-18,Manual paste,Product Manager,6,1,1,0,2,0,0
2026-01-18,Manual paste,Software Engineer,12,1,4,2,3,2,0
2026-01-18,Manual paste,UX Designer,12,1,2,1,6,0,0
2026-01-19,Company career site,Data Analyst,9,1,2,1,8,0,0
2026-01-19,Company career site,Finance Analyst,11,2,1,1,5,1,0
2026-01-19,Company career site,Product Manager,6,0,2,0,5,2,0
2026-01-19,Company career site,Software Engineer,14,3,2,0,6,1,0
2026-01-19,Company career site,UX Designer,12,4,0,0,3,2,0
2026-01-19,Handshake extension,Data Analyst,12,1,1,2,9,2,0
2026-01-19,Handshake extension,Finance Analyst,12,2,2,1,7,1,0
2026-01-19,Handshake extension,Product Manager,10,2,4,1,1,1,0
2026-01-19,Handshake extension,Software Engineer,14,3,2,1,7,0,0
2026-01-19,Handshake extension,UX Designer,18,1,3,2,11,3,0
2026-01-19,LinkedIn extension,Data Analyst,11,3,2,0,3,0,0
2026-01-19,LinkedIn extension,Finance Analyst,11,2,2,0,6,0,0
2026-01-19,LinkedIn extension,Product Manager,14,2,1,1,10,2,0
2026-01-19,LinkedIn extension,Software Engineer,20,3,0,6,6,3,1
2026-01-19,LinkedIn extension,UX Designer,15,3,2,1,6,0,1
2026-01-19,Manual paste,Data Analyst,17,5,3,1,6,2,0
2026-01-19,Manual paste,Finance Analyst,7,4,1,0,2,0,0
2026-01-19,Manual paste,Product Manager,8,3,3,0,0,2,0
2026-01-19,Manual paste,Software Engineer,13,5,1,1,2,2,0
2026-01-19,Manual paste,UX Designer,10,4,0,1,3,1,0
2026-01-20,Company career site,Data Analyst,11,1,2,2,3,1,0
2026-01-20,Company career site,Finance Analyst,15,6,1,0,6,0,0
2026-01-20,Company career site,Product Manager,4,0,1,1,3,0,0
2026-01-20,Company career site,Software Engineer,11,1,1,3,4,2,0
2026-01-20,Company career site,UX Designer,8,0,2,0,3,0,0
2026-01-20,Handshake extension,Data Analyst,13,3,1,0,5,4,0
2026-01-20,Handshake extension,Finance Analyst,15,6,1,0,5,1,0
2026-01-20,Handshake extension,Product Manager,9,2,1,1,5,0,0
2026-01-20,Handshake extension,Software Engineer,16,2,4,1,4,2,0
2026-01-20,Handshake extension,UX Designer,17,1,1,2,10,3,0
2026-01-20,LinkedIn extension,Data Analyst,15,2,3,2,7,1,0
2026-01-20,LinkedIn extension,Finance Analyst,14,4,1,2,3,2,0
2026-01-20,LinkedIn extension,Product Manager,13,4,4,1,5,0,0
2026-01-20,LinkedIn extension,Software Engineer,21,5,3,0,15,4,0
2026-01-20,LinkedIn extension,UX Designer,17,3,3,1,8,0,0
2026-01-20,Manual paste,Data Analyst,13,1,2,1,4,1,0
2026-01-20,Manual paste,Finance Analyst,8,2,1,0,4,0,0
2026-01-20,Manual paste,Product Manager,14,3,1,3,3,0,0
2026-01-20,Manual paste,Software Engineer,16,5,1,2,5,0,0
2026-01-20,Manual paste,UX Designer,14,2,4,1,5,4,0
2026-01-21,Company career site,Data Analyst,11,2,3,0,7,2,0
2026-01-21,Company career site,Finance Analyst,6,0,0,1,4,1,0
2026-01-21,Company career site,Product Manager,5,0,2,0,7,0,0
2026-01-21,Company career site,Software Engineer,17,3,1,0,10,2,0
2026-01-21,Company career site,UX Designer,8,0,1,3,1,0,0
2026-01-21,Handshake extension,Data Analyst,10,1,1,0,7,3,0
2026-01-21,Handshake extension,Finance Analyst,7,1,1,0,2,0,0
