cohort_week,weeks_since_signup,cohort_size,retained_users,retention_rate
2026-03-16,12,334,17,0.0509
2026-03-23,0,334,334,1.0
2026-03-23,1,334,163,0.488
2026-03-23,2,334,163,0.488
2026-03-23,3,334,131,0.3922
2026-03-23,4,334,86,0.2575
2026-03-23,5,334,58,0.1737
2026-03-23,6,334,36,0.1078
2026-03-23,7,334,47,0.1407
2026-03-23,8,334,31,0.0928
2026-03-23,9,334,24,0.0719
2026-03-23,10,334,12,0.0359
2026-03-23,11,334,9,0.0269
2026-03-23,12,334,15,0.0449
2026-03-30,0,352,352,1.0
2026-03-30,1,352,154,0.4375
2026-03-30,2,352,167,0.4744
2026-03-30,3,352,139,0.3949
2026-03-30,4,352,100,0.2841
2026-03-30,5,352,69,0.196
2026-03-30,6,352,45,0.1278
2026-03-30,7,352,35,0.0994
2026-03-30,8,352,33,0.0938
2026-03-30,9,352,29,0.0824
2026-03-30,10,352,23,0.0653
2026-03-30,11,352,18,0.0511
2026-03-30,12,352,20,0.0568
2026-04-06,0,324,324,1.0
2026-04-06,1,324,137,0.4228
2026-04-06,2,324,147,0.4537
2026-04-06,3,324,121,0.3735
2026-04-06,4,324,91,0.2809
2026-04-06,5,324,43,0.1327
2026-04-06,6,324,33,0.1019
2026-04-06,7,324,29,0.0895
2026-04-06,8,324,21,0.0648
2026-04-06,9,324,24,0.0741
2026-04-06,10,324,19,0.0586
2026-04-06,11,324,12,0.037
2026-04-06,12,324,5,0.0154
2026-04-13,0,312,312,1.0
2026-04-13,1,312,139,0.4455
2026-04-13,2,312,160,0.5128
2026-04-13,3,312,127,0.4071
2026-04-13,4,312,89,0.2853
2026-04-13,5,312,47,0.1506
2026-04-13,6,312,51,0.1635
2026-04-13,7,312,32,0.1026
2026-04-13,8,312,31,0.0994
2026-04-13,9,312,33,0.1058
2026-04-13,10,312,19,0.0609
2026-04-13,11,312,3,0.0096
2026-04-13,12,312,0,0.0
2026-04-20,0,337,337,1.0
2026-04-20,1,337,164,0.4866
2026-04-20,2,337,170,0.5045
2026-04-20,3,337,128,0.3798
2026-04-20,4,337,102,0.3027
2026-04-20,5,337,68,0.2018
2026-04-20,6,337,33,0.0979
2026-04-20,7,337,38,0.1128
2026-04-20,8,337,37,0.1098
2026-04-20,9,337,28,0.0831
2026-04-20,10,337,5,0.0148
2026-04-20,11,337,0,0.0
2026-04-20,12,337,0,0.0
2026-04-27,0,299,299,1.0
2026-04-27,1,299,144,0.4816
2026-04-27,2,299,147,0.4916
2026-04-27,3,299,123,0.4114
2026-04-27,4,299,85,0.2843
2026-04-27,5,299,52,0.1739
2026-04-27,6,299,43,0.1438
2026-04-27,7,299,20,0.0669
2026-04-27,8,299,24,0.0803
2026-04-27,9,299,11,0.0368
2026-04-27,10,299,0,0.0
2026-04-27,11,299,0,0.0
2026-04-27,12,299,0,0.0
2026-05-04,0,323,323,1.0
2026-05-04,1,323,154,0.4768
2026-05-04,2,323,163,0.5046
2026-05-04,3,323,129,0.3994
2026-05-04,4,323,87,0.2693
2026-05-04,5,323,50,0.1548
2026-05-04,6,323,43,0.1331
2026-05-04,7,323,30,0.0929
2026-05-04,8,323,10,0.031
2026-05-04,9,323,0,0.0
2026-05-04,10,323,0,0.0
2026-05-04,11,323,0,0.0
2026-05-04,12,323,0,0.0
2026-05-11,0,325,325,1.0
2026-05-11,1,325,143,0.44
2026-05-11,2,325,169,0.52
2026-05-11,3,325,127,0.3908
2026-05-11,4,325,108,0.3323
2026-05-11,5,325,47,0.1446
2026-05-11,6,325,41,0.1262
2026-05-11,7,325,11,0.0338
2026-05-11,8,325,0,0.0
2026-05-11,9,325,0,0.0
2026-05-11,10,325,0,0.0
2026-05-11,11,325,0,0.0
2026-05-11,12,325,0,0.0
2026-05-18,0,315,315,1.0
2026-05-18,1,315,137,0.4349
2026-05-18,2,315,153,0.4857
2026-05-18,3,315,122,0.3873
2026-05-18,4,315,86,0.273
2026-05-18,5,315,59,0.1873
2026-05-18,6,315,12,0.0381
2026-05-18,7,315,0,0.0
2026-05-18,8,315,0,0.0
2026-05-18,9,315,0,0.0
2026-05-18,10,315,0,0.0
2026-05-18,11,315,0,0.0
2026-05-18,12,315,0,0.0
2026-05-25,0,336,336,1.0
2026-05-25,1,336,148,0.4405
2026-05-25,2,336,166,0.494
2026-05-25,3,336,128,0.381
2026-05-25,4,336,98,0.2917
2026-05-25,5,336,19,0.0565
2026-05-25,6,336,0,0.0
2026-05-25,7,336,0,0.0
2026-05-25,8,336,0,0.0
2026-05-25,9,336,0,0.0
2026-05-25,10,336,0,0.0
2026-05-25,11,336,0,0.0
2026-05-25,12,336,0,0.0
2026-06-01,0,327,327,1.0
2026-06-01,1,327,158,0.4832
2026-06-01,2,327,178,0.5443
2026-06-01,3,327,145,0.4434
2026-06-01,4,327,65,0.1988
2026-06-01,5,327,0,0.0
2026-06-01,6,327,0,0.0
2026-06-01,7,327,0,0.0
2026-06-01,8,327,0,0.0
2026-06-01,9,327,0,0.0
2026-06-01,10,327,0,0.0
2026-06-01,11,327,0,0.0
2026-06-01,12,327,0,0.0
2026-06-08,0,339,339,1.0
2026-06-08,1,339,142,0.4189
2026-06-08,2,339,169,0.4985
2026-06-08,3,339,120,0.354
2026-06-08,4,339,0,0.0
2026-06-08,5,339,0,0.0
2026-06-08,6,339,0,0.0
2026-06-08,7,339,0,0.0
2026-06-08,8,339,0,0.0
2026-06-08,9,339,0,0.0
2026-06-08,10,339,0,0.0
2026-06-08,11,339,0,0.0
2026-06-08,12,339,0,0.0
2026-06-15,0,306,306,1.0
2026-06-15,1,306,130,0.4248
2026-06-15,2,306,101,0.3301
2026-06-15,3,306,0,0.0
2026-06-15,4,306,0,0.0
2026-06-15,5,306,0,0.0
2026-06-15,6,306,0,0.0
2026-06-15,7,306,0,0.0
2026-06-15,8,306,0,0.0
2026-06-15,9,306,0,0.0
2026-06-15,10,306,0,0.0
2026-06-15,11,306,0,0.0
2026-06-15,12,306,0,0.0
2026-06-22,0,97,97,1.0
2026-06-22,1,97,27,0.2784
2026-06-22,2,97,0,0.0
2026-06-22,3,97,0,0.0
2026-06-22,4,97,0,0.0
2026-06-22,5,97,0,0.0
2026-06-22,6,97,0,0.0
2026-06-22,7,97,0,0.0
2026-06-22,8,97,0,0.0
2026-06-22,9,97,0,0.0
2026-06-22,10,97,0,0.0
2026-06-22,11,97,0,0.0
2026-06-22,12,97,0,0.0
