event_month,target_role,feature,unique_users,event_count,active_users,adoption_rate
2026-02,Finance Analyst,jobs,170,418,395,0.4304
2026-02,Finance Analyst,mock_interviews,48,90,395,0.1215
2026-02,Finance Analyst,prep_plans,114,132,395,0.2886
2026-02,Finance Analyst,study_notes,149,1962,395,0.3772
2026-02,Product Manager,auth,254,468,400,0.635
2026-02,Product Manager,dashboard,163,283,400,0.4075
2026-02,Product Manager,exams,113,590,400,0.2825
2026-02,Product Manager,jobs,168,425,400,0.42
2026-02,Product Manager,mock_interviews,52,93,400,0.13
2026-02,Product Manager,prep_plans,117,140,400,0.2925
2026-02,Product Manager,study_notes,159,2126,400,0.3975
2026-02,Software Engineer,auth,247,471,388,0.6366
2026-02,Software Engineer,dashboard,179,320,388,0.4613
2026-02,Software Engineer,exams,97,514,388,0.25
2026-02,Software Engineer,jobs,170,462,388,0.4381
2026-02,Software Engineer,mock_interviews,44,83,388,0.1134
2026-02,Software Engineer,prep_plans,125,160,388,0.3222
2026-02,Software Engineer,study_notes,165,2198,388,0.4253
2026-02,UX Designer,auth,202,380,355,0.569
2026-02,UX Designer,dashboard,175,308,355,0.493
2026-02,UX Designer,exams,93,548,355,0.262
2026-02,UX Designer,jobs,158,414,355,0.4451
2026-02,UX Designer,mock_interviews,42,79,355,0.1183
2026-02,UX Designer,prep_plans,108,141,355,0.3042
2026-02,UX Designer,study_notes,147,2199,355,0.4141
2026-03,Data Analyst,auth,298,568,477,0.6247
2026-03,Data Analyst,dashboard,240,379,477,0.5031
2026-03,Data Analyst,exams,106,536,477,0.2222
2026-03,Data Analyst,jobs,192,523,477,0.4025
2026-03,Data Analyst,mock_interviews,51,93,477,0.1069
2026-03,Data Analyst,prep_plans,130,169,477,0.2725
2026-03,Data Analyst,study_notes,163,2338,477,0.3417
2026-03,Finance Analyst,auth,300,569,489,0.6135
2026-03,Finance Analyst,dashboard,229,405,489,0.4683
2026-03,Finance Analyst,exams,104,568,489,0.2127
2026-03,Finance Analyst,jobs,197,553,489,0.4029
2026-03,Finance Analyst,mock_interviews,46,87,489,0.0941
2026-03,Finance Analyst,prep_plans,145,187,489,0.2965
2026-03,Finance Analyst,study_notes,176,2416,489,0.3599
2026-03,Product Manager,auth,273,518,459,0.5948
2026-03,Product Manager,dashboard,219,367,459,0.4771
2026-03,Product Manager,exams,88,456,459,0.1917
2026-03,Product Manager,jobs,166,430,459,0.3617
2026-03,Product Manager,mock_interviews,36,69,459,0.0784
2026-03,Product Manager,prep_plans,112,132,459,0.244
2026-03,Product Manager,study_notes,140,1738,459,0.305
2026-03,Software Engineer,auth,281,527,502,0.5598
2026-03,Software Engineer,dashboard,259,424,502,0.5159
2026-03,Software Engineer,exams,110,596,502,0.2191
2026-03,Software Engineer,jobs,165,424,502,0.3287
2026-03,Software Engineer,mock_interviews,50,99,502,0.0996
2026-03,Software Engineer,prep_plans,121,145,502,0.241
2026-03,Software Engineer,study_notes,159,2214,502,0.3167
2026-03,UX Designer,auth,303,581,495,0.6121
2026-03,UX Designer,dashboard,253,437,495,0.5111
2026-03,UX Designer,exams,98,462,495,0.198
2026-03,UX Designer,jobs,187,492,495,0.3778
2026-03,UX Designer,mock_interviews,35,68,495,0.0707
2026-03,UX Designer,prep_plans,128,154,495,0.2586
2026-03,UX Designer,study_notes,149,2100,495,0.301
2026-04,Data Analyst,auth,273,519,509,0.5363
2026-04,Data Analyst,dashboard,280,423,509,0.5501
2026-04,Data Analyst,exams,113,524,509,0.222
2026-04,Data Analyst,jobs,201,510,509,0.3949
2026-04,Data Analyst,mock_interviews,55,104,509,0.1081
2026-04,Data Analyst,prep_plans,148,177,509,0.2908
2026-04,Data Analyst,study_notes,186,2335,509,0.3654
2026-04,Finance Analyst,auth,289,549,525,0.5505
2026-04,Finance Analyst,dashboard,287,474,525,0.5467
2026-04,Finance Analyst,exams,117,598,525,0.2229
2026-04,Finance Analyst,jobs,186,508,525,0.3543
2026-04,Finance Analyst,mock_interviews,46,85,525,0.0876
2026-04,Finance Analyst,prep_plans,137,177,525,0.261
2026-04,Finance Analyst,study_notes,185,2666,525,0.3524
2026-04,Product Manager,auth,254,473,476,0.5336
2026-04,Product Manager,dashboard,249,403,476,0.5231
2026-04,Product Manager,exams,101,504,476,0.2122
2026-04,Product Manager,jobs,167,426,476,0.3508
2026-04,Product Manager,mock_interviews,42,79,476,0.0882
2026-04,Product Manager,prep_plans,123,147,476,0.2584
2026-04,Product Manager,study_notes,157,2274,476,0.3298
2026-04,Software Engineer,auth,296,567,523,0.566
2026-04,Software Engineer,dashboard,267,430,523,0.5105
2026-04,Software Engineer,exams,97,486,523,0.1855
2026-04,Software Engineer,jobs,195,506,523,0.3728
2026-04,Software Engineer,mock_interviews,41,76,523,0.0784
2026-04,Software Engineer,prep_plans,131,161,523,0.2505
2026-04,Software Engineer,study_notes,150,2097,523,0.2868
2026-04,UX Designer,auth,288,543,510,0.5647
2026-04,UX Designer,dashboard,258,427,510,0.5059
2026-04,UX Designer,exams,105,478,510,0.2059
2026-04,UX Designer,jobs,188,462,510,0.3686
2026-04,UX Designer,mock_interviews,39,73,510,0.0765
2026-04,UX Designer,prep_plans,126,151,510,0.2471
2026-04,UX Designer,study_notes,158,2131,510,0.3098
2026-05,Data Analyst,auth,292,550,542,0.5387
2026-05,Data Analyst,dashboard,296,484,542,0.5461
2026-05,Data Analyst,exams,120,568,542,0.2214
2026-05,Data Analyst,jobs,182,475,542,0.3358
2026-05,Data Analyst,mock_interviews,56,111,542,0.1033
2026-05,Data Analyst,prep_plans,131,160,542,0.2417
2026-05,Data Analyst,study_notes,190,2593,542,0.3506
2026-05,Finance Analyst,auth,310,591,555,0.5586
2026-05,Finance Analyst,dashboard,306,502,555,0.5514
2026-05,Finance Analyst,exams,118,634,555,0.2126
2026-05,Finance Analyst,jobs,201,501,555,0.3622
2026-05,Finance Analyst,mock_interviews,41,77,555,0.0739
2026-05,Finance Analyst,prep_plans,148,171,555,0.2667
2026-05,Finance Analyst,study_notes,182,2497,555,0.3279
2026-05,Product Manager,auth,270,511,476,0.5672
2026-05,Product Manager,dashboard,259,434,476,0.5441
2026-05,Product Manager,exams,96,534,476,0.2017
2026-05,Product Manager,jobs,181,464,476,0.3803
2026-05,Product Manager,mock_interviews,36,71,476,0.0756
2026-05,Product Manager,prep_plans,123,152,476,0.2584
2026-05,Product Manager,study_notes,151,2066,476,0.3172
2026-05,Software Engineer,auth,262,494,490,0.5347
2026-05,Software Engineer,dashboard,262,431,490,0.5347
2026-05,Software Engineer,exams,106,544,490,0.2163
2026-05,Software Engineer,jobs,175,474,490,0.3571
2026-05,Software Engineer,mock_interviews,49,86,490,0.1
2026-05,Software Engineer,prep_plans,132,154,490,0.2694
2026-05,Software Engineer,study_notes,174,2198,490,0.3551
2026-05,UX Designer,auth,306,578,543,0.5635
2026-05,UX Designer,dashboard,281,456,543,0.5175
2026-05,UX Designer,exams,115,620,543,0.2118
2026-05,UX Designer,jobs,195,534,543,0.3591
2026-05,UX Designer,mock_interviews,48,98,543,0.0884
2026-05,UX Designer,prep_plans,137,175,543,0.2523
2026-05,UX Designer,study_notes,181,2413,543,0.3333
2026-06,Data Analyst,auth,190,367,416,0.4567
2026-06,Data Analyst,dashboard,248,388,416,0.5962
2026-06,Data Analyst,exams,99,441,416,0.238
2026-06,Data Analyst,jobs,136,360,416,0.3269
2026-06,Data Analyst,mock_interviews,38,75,416,0.0913
2026-06,Data Analyst,prep_plans,100,127,416,0.2404
2026-06,Data Analyst,study_notes,139,2164,416,0.3341
2026-06,Finance Analyst,auth,220,416,486,0.4527
2026-06,Finance Analyst,dashboard,298,483,486,0.6132
2026-06,Finance Analyst,exams,121,606,486,0.249
2026-06,Finance Analyst,jobs,193,509,486,0.3971
2026-06,Finance Analyst,mock_interviews,54,104,486,0.1111
2026-06,Finance Analyst,prep_plans,137,171,486,0.2819
2026-06,Finance Analyst,study_notes,176,2821,486,0.3621
2026-06,Product Manager,auth,214,411,420,0.5095
2026-06,Product Manager,dashboard,247,398,420,0.5881
2026-06,Product Manager,exams,123,613,420,0.2929
2026-06,Product Manager,jobs,174,472,420,0.4143
2026-06,Product Manager,mock_interviews,44,87,420,0.1048
2026-06,Product Manager,prep_plans,128,165,420,0.3048
2026-06,Product Manager,study_notes,165,2765,420,0.3929
2026-06,Software Engineer,auth,228,435,438,0.5205
2026-06,Software Engineer,dashboard,260,438,438,0.5936
2026-06,Software Engineer,exams,123,646,438,0.2808
2026-06,Software Engineer,jobs,172,468,438,0.3927
2026-06,Software Engineer,mock_interviews,42,89,438,0.0959
2026-06,Software Engineer,prep_plans,126,155,438,0.2877
2026-06,Software Engineer,study_notes,167,2540,438,0.3813
2026-06,UX Designer,auth,228,430,456,0.5
2026-06,UX Designer,dashboard,278,465,456,0.6096
2026-06,UX Designer,exams,133,702,456,0.2917
2026-06,UX Designer,jobs,190,525,456,0.4167
2026-06,UX Designer,mock_interviews,55,105,456,0.1206
2026-06,UX Designer,prep_plans,150,185,456,0.3289
2026-06,UX Designer,study_notes,193,3091,456,0.4232
2026-07,Data Analyst,exams,1,1,9,0.1111
2026-07,Data Analyst,study_notes,8,9,9,0.8889
2026-07,Finance Analyst,study_notes,22,26,22,1.0
2026-07,Product Manager,exams,1,1,14,0.0714
2026-07,Product Manager,study_notes,14,20,14,1.0
2026-07,Software Engineer,exams,4,4,21,0.1905
2026-07,Software Engineer,study_notes,18,22,21,0.8571
2026-07,UX Designer,exams,2,2,15,0.1333
2026-07,UX Designer,study_notes,14,20,15,0.9333
